Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 42581.77it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8151.86it/s]
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
epoch=1/10 step=1/2000 loss=0.7868 samples_per_sec=0.89
epoch=1/10 step=10/2000 loss=0.8271 samples_per_sec=2.26
epoch=1/10 step=20/2000 loss=0.7770 samples_per_sec=2.78
epoch=1/10 step=30/2000 loss=0.8040 samples_per_sec=2.87
epoch=1/10 step=40/2000 loss=0.7789 samples_per_sec=2.95
epoch=1/10 step=50/2000 loss=0.1601 samples_per_sec=2.83
epoch=1/10 step=60/2000 loss=0.8399 samples_per_sec=2.88
epoch=1/10 step=70/2000 loss=0.8383 samples_per_sec=2.95
epoch=1/10 step=80/2000 loss=0.7705 samples_per_sec=2.75
epoch=1/10 step=90/2000 loss=0.7396 samples_per_sec=2.98
epoch=1/10 step=100/2000 loss=0.7959 samples_per_sec=2.87
epoch=1/10 step=110/2000 loss=0.8104 samples_per_sec=2.69
epoch=1/10 step=120/2000 loss=0.7640 samples_per_sec=2.96
epoch=1/10 step=130/2000 loss=0.8742 samples_per_sec=2.68
epoch=1/10 step=140/2000 loss=0.7519 samples_per_sec=2.96
epoch=1/10 step=150/2000 loss=0.6874 samples_per_sec=2.84
epoch=1/10 step=160/2000 loss=0.7380 samples_per_sec=2.89
epoch=1/10 step=170/2000 loss=0.8173 samples_per_sec=2.72
epoch=1/10 step=180/2000 loss=0.8361 samples_per_sec=3.15
epoch=1/10 step=190/2000 loss=0.8104 samples_per_sec=3.01
epoch=1/10 step=200/2000 loss=0.8155 samples_per_sec=2.93
epoch=1/10 step=210/2000 loss=0.7867 samples_per_sec=2.83
epoch=1/10 step=220/2000 loss=0.8091 samples_per_sec=2.82
epoch=1/10 step=230/2000 loss=0.7733 samples_per_sec=3.08
epoch=1/10 step=240/2000 loss=0.8644 samples_per_sec=2.92
epoch=1/10 step=250/2000 loss=0.7365 samples_per_sec=2.55
epoch=1/10 step=260/2000 loss=0.7577 samples_per_sec=3.00
epoch=1/10 step=270/2000 loss=0.7691 samples_per_sec=2.75
epoch=1/10 step=280/2000 loss=0.7437 samples_per_sec=2.72
epoch=1/10 step=290/2000 loss=0.7858 samples_per_sec=2.65
epoch=1/10 step=300/2000 loss=0.7145 samples_per_sec=2.95
epoch=1/10 step=310/2000 loss=0.6903 samples_per_sec=2.82
epoch=1/10 step=320/2000 loss=0.6709 samples_per_sec=2.62
epoch=1/10 step=330/2000 loss=0.7668 samples_per_sec=2.90
epoch=1/10 step=340/2000 loss=0.6474 samples_per_sec=2.69
epoch=1/10 step=350/2000 loss=0.7708 samples_per_sec=2.96
epoch=1/10 step=360/2000 loss=0.7232 samples_per_sec=2.70
epoch=1/10 step=370/2000 loss=0.6869 samples_per_sec=2.89
epoch=1/10 step=380/2000 loss=0.7373 samples_per_sec=2.83
epoch=1/10 step=390/2000 loss=0.7169 samples_per_sec=2.69
epoch=1/10 step=400/2000 loss=0.6977 samples_per_sec=2.83
epoch=1/10 step=410/2000 loss=0.8347 samples_per_sec=2.77
epoch=1/10 step=420/2000 loss=0.7443 samples_per_sec=2.98
epoch=1/10 step=430/2000 loss=0.7456 samples_per_sec=2.80
epoch=1/10 step=440/2000 loss=0.7432 samples_per_sec=2.94
epoch=1/10 step=450/2000 loss=0.8440 samples_per_sec=2.71
epoch=1/10 step=460/2000 loss=0.6869 samples_per_sec=2.87
epoch=1/10 step=470/2000 loss=0.7861 samples_per_sec=2.77
epoch=1/10 step=480/2000 loss=0.7393 samples_per_sec=3.09
epoch=1/10 step=490/2000 loss=0.7595 samples_per_sec=2.69
epoch=1/10 step=500/2000 loss=0.7774 samples_per_sec=2.62
epoch=1/10 step=510/2000 loss=0.8382 samples_per_sec=2.85
epoch=1/10 step=520/2000 loss=0.6654 samples_per_sec=2.73
epoch=1/10 step=530/2000 loss=0.7189 samples_per_sec=2.80
epoch=1/10 step=540/2000 loss=0.7631 samples_per_sec=2.97
epoch=1/10 step=550/2000 loss=0.7495 samples_per_sec=2.61
epoch=1/10 step=560/2000 loss=0.8928 samples_per_sec=3.16
epoch=1/10 step=570/2000 loss=0.7794 samples_per_sec=2.76
epoch=1/10 step=580/2000 loss=0.8138 samples_per_sec=2.78
epoch=1/10 step=590/2000 loss=0.7245 samples_per_sec=2.72
epoch=1/10 step=600/2000 loss=0.8517 samples_per_sec=3.24
epoch=1/10 step=610/2000 loss=0.7770 samples_per_sec=3.15
epoch=1/10 step=620/2000 loss=0.6825 samples_per_sec=2.94
epoch=1/10 step=630/2000 loss=0.8015 samples_per_sec=2.97
epoch=1/10 step=640/2000 loss=0.7681 samples_per_sec=3.09
epoch=1/10 step=650/2000 loss=0.7884 samples_per_sec=3.22
epoch=1/10 step=660/2000 loss=0.7391 samples_per_sec=2.67
epoch=1/10 step=670/2000 loss=0.7453 samples_per_sec=2.79
epoch=1/10 step=680/2000 loss=0.7711 samples_per_sec=2.78
epoch=1/10 step=690/2000 loss=0.6709 samples_per_sec=2.77
epoch=1/10 step=700/2000 loss=0.8061 samples_per_sec=3.10
epoch=1/10 step=710/2000 loss=0.7574 samples_per_sec=2.84
epoch=1/10 step=720/2000 loss=0.8239 samples_per_sec=2.88
epoch=1/10 step=730/2000 loss=0.7857 samples_per_sec=2.94
epoch=1/10 step=740/2000 loss=0.7171 samples_per_sec=2.81
epoch=1/10 step=750/2000 loss=0.7301 samples_per_sec=2.76
epoch=1/10 step=760/2000 loss=0.7198 samples_per_sec=2.95
epoch=1/10 step=770/2000 loss=0.7082 samples_per_sec=2.94
epoch=1/10 step=780/2000 loss=0.7016 samples_per_sec=2.68
epoch=1/10 step=790/2000 loss=0.7555 samples_per_sec=2.90
epoch=1/10 step=800/2000 loss=0.7135 samples_per_sec=3.00
epoch=1/10 step=810/2000 loss=0.7518 samples_per_sec=2.66
epoch=1/10 step=820/2000 loss=0.7424 samples_per_sec=2.76
epoch=1/10 step=830/2000 loss=0.7398 samples_per_sec=2.93
epoch=1/10 step=840/2000 loss=0.6796 samples_per_sec=2.64
epoch=1/10 step=850/2000 loss=0.6884 samples_per_sec=2.76
epoch=1/10 step=860/2000 loss=0.7880 samples_per_sec=2.68
epoch=1/10 step=870/2000 loss=0.7745 samples_per_sec=2.87
epoch=1/10 step=880/2000 loss=0.7479 samples_per_sec=2.70
epoch=1/10 step=890/2000 loss=0.7631 samples_per_sec=3.02
epoch=1/10 step=900/2000 loss=0.7089 samples_per_sec=2.74
epoch=1/10 step=910/2000 loss=0.7756 samples_per_sec=3.01
epoch=1/10 step=920/2000 loss=0.7009 samples_per_sec=2.94
epoch=1/10 step=930/2000 loss=0.7233 samples_per_sec=2.78
epoch=1/10 step=940/2000 loss=0.7290 samples_per_sec=2.77
epoch=1/10 step=950/2000 loss=0.7353 samples_per_sec=2.95
epoch=1/10 step=960/2000 loss=0.6864 samples_per_sec=2.96
epoch=1/10 step=970/2000 loss=0.7810 samples_per_sec=2.78
epoch=1/10 step=980/2000 loss=0.6997 samples_per_sec=2.95
