Using device=cuda dtype=torch.bfloat16
MPS status: built=False available=False
Registered 2000 JSON stroke files for split [train] from sedrah_pipeline/calliar_dataset/json/train
Registered 250 JSON stroke files for split [validation] from sedrah_pipeline/calliar_dataset/json/validation
Loading tokenizer/processor from Qwen/Qwen2-VL-2B-Instruct
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading model from Qwen/Qwen2-VL-2B-Instruct
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 37617.08it/s]
Loading weights:   0%|          | 0/729 [00:00<?, ?it/s]Loading weights: 100%|██████████| 729/729 [00:00<00:00, 8211.21it/s]
trainable params: 4,358,144 || all params: 2,213,343,744 || trainable%: 0.1969
[transformers] `use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
epoch=1/10 step=1/2000 loss=0.7438 samples_per_sec=1.21
epoch=1/10 step=10/2000 loss=0.7956 samples_per_sec=2.85
epoch=1/10 step=20/2000 loss=0.8197 samples_per_sec=2.77
epoch=1/10 step=30/2000 loss=0.8291 samples_per_sec=2.74
epoch=1/10 step=40/2000 loss=0.7653 samples_per_sec=2.64
epoch=1/10 step=50/2000 loss=0.8110 samples_per_sec=2.82
epoch=1/10 step=60/2000 loss=0.7806 samples_per_sec=2.73
epoch=1/10 step=70/2000 loss=0.7981 samples_per_sec=2.67
epoch=1/10 step=80/2000 loss=0.8032 samples_per_sec=2.99
epoch=1/10 step=90/2000 loss=0.8082 samples_per_sec=2.82
epoch=1/10 step=100/2000 loss=0.8932 samples_per_sec=2.74
epoch=1/10 step=110/2000 loss=0.8154 samples_per_sec=2.76
epoch=1/10 step=120/2000 loss=0.8191 samples_per_sec=2.71
epoch=1/10 step=130/2000 loss=0.8281 samples_per_sec=2.81
epoch=1/10 step=140/2000 loss=0.7793 samples_per_sec=2.88
epoch=1/10 step=150/2000 loss=0.8322 samples_per_sec=3.19
epoch=1/10 step=160/2000 loss=0.7557 samples_per_sec=2.74
epoch=1/10 step=170/2000 loss=0.7588 samples_per_sec=2.91
epoch=1/10 step=180/2000 loss=0.8971 samples_per_sec=2.92
epoch=1/10 step=190/2000 loss=0.7198 samples_per_sec=2.72
epoch=1/10 step=200/2000 loss=0.8715 samples_per_sec=3.11
epoch=1/10 step=210/2000 loss=0.8016 samples_per_sec=2.78
epoch=1/10 step=220/2000 loss=0.8223 samples_per_sec=2.84
epoch=1/10 step=230/2000 loss=0.8077 samples_per_sec=2.85
epoch=1/10 step=240/2000 loss=0.8419 samples_per_sec=3.06
epoch=1/10 step=250/2000 loss=0.7256 samples_per_sec=2.80
epoch=1/10 step=260/2000 loss=0.7951 samples_per_sec=3.09
epoch=1/10 step=270/2000 loss=0.8652 samples_per_sec=3.00
epoch=1/10 step=280/2000 loss=0.7996 samples_per_sec=2.81
epoch=1/10 step=290/2000 loss=0.8507 samples_per_sec=3.05
epoch=1/10 step=300/2000 loss=0.7646 samples_per_sec=2.65
epoch=1/10 step=310/2000 loss=0.7566 samples_per_sec=3.04
epoch=1/10 step=320/2000 loss=0.7803 samples_per_sec=2.75
epoch=1/10 step=330/2000 loss=0.7582 samples_per_sec=3.15
epoch=1/10 step=340/2000 loss=0.6286 samples_per_sec=2.83
epoch=1/10 step=350/2000 loss=0.7489 samples_per_sec=2.77
epoch=1/10 step=360/2000 loss=0.8005 samples_per_sec=2.80
epoch=1/10 step=370/2000 loss=0.7315 samples_per_sec=2.83
epoch=1/10 step=380/2000 loss=0.8300 samples_per_sec=2.70
epoch=1/10 step=390/2000 loss=0.7399 samples_per_sec=3.03
epoch=1/10 step=400/2000 loss=0.8042 samples_per_sec=2.78
epoch=1/10 step=410/2000 loss=0.7294 samples_per_sec=2.92
epoch=1/10 step=420/2000 loss=0.7056 samples_per_sec=2.99
epoch=1/10 step=430/2000 loss=0.8650 samples_per_sec=2.79
epoch=1/10 step=440/2000 loss=0.7454 samples_per_sec=2.74
epoch=1/10 step=450/2000 loss=0.8011 samples_per_sec=2.92
epoch=1/10 step=460/2000 loss=0.7641 samples_per_sec=2.74
epoch=1/10 step=470/2000 loss=0.7731 samples_per_sec=2.89
epoch=1/10 step=480/2000 loss=0.6816 samples_per_sec=2.73
epoch=1/10 step=490/2000 loss=0.8775 samples_per_sec=2.95
epoch=1/10 step=500/2000 loss=0.6933 samples_per_sec=3.30
epoch=1/10 step=510/2000 loss=0.6317 samples_per_sec=2.83
epoch=1/10 step=520/2000 loss=0.7363 samples_per_sec=2.89
epoch=1/10 step=530/2000 loss=0.6046 samples_per_sec=2.83
epoch=1/10 step=540/2000 loss=0.7625 samples_per_sec=2.63
epoch=1/10 step=550/2000 loss=0.7230 samples_per_sec=2.67
epoch=1/10 step=560/2000 loss=0.7595 samples_per_sec=2.91
epoch=1/10 step=570/2000 loss=0.7427 samples_per_sec=2.84
epoch=1/10 step=580/2000 loss=0.7188 samples_per_sec=3.02
epoch=1/10 step=590/2000 loss=0.7438 samples_per_sec=2.86
epoch=1/10 step=600/2000 loss=0.8130 samples_per_sec=2.68
epoch=1/10 step=610/2000 loss=0.7328 samples_per_sec=2.84
epoch=1/10 step=620/2000 loss=0.7165 samples_per_sec=2.74
epoch=1/10 step=630/2000 loss=0.7012 samples_per_sec=2.68
epoch=1/10 step=640/2000 loss=0.7303 samples_per_sec=3.14
epoch=1/10 step=650/2000 loss=0.7926 samples_per_sec=2.96
epoch=1/10 step=660/2000 loss=0.7822 samples_per_sec=2.75
epoch=1/10 step=670/2000 loss=0.7638 samples_per_sec=2.81
epoch=1/10 step=680/2000 loss=0.7527 samples_per_sec=2.79
epoch=1/10 step=690/2000 loss=0.7430 samples_per_sec=2.77
epoch=1/10 step=700/2000 loss=0.6865 samples_per_sec=2.71
epoch=1/10 step=710/2000 loss=0.7713 samples_per_sec=2.57
epoch=1/10 step=720/2000 loss=0.7386 samples_per_sec=2.90
epoch=1/10 step=730/2000 loss=0.7393 samples_per_sec=2.85
epoch=1/10 step=740/2000 loss=0.7260 samples_per_sec=2.69
epoch=1/10 step=750/2000 loss=0.7708 samples_per_sec=2.96
epoch=1/10 step=760/2000 loss=0.8784 samples_per_sec=3.12
epoch=1/10 step=770/2000 loss=0.7005 samples_per_sec=2.80
epoch=1/10 step=780/2000 loss=0.7443 samples_per_sec=2.94
epoch=1/10 step=790/2000 loss=0.7359 samples_per_sec=2.86
epoch=1/10 step=800/2000 loss=0.6361 samples_per_sec=2.74
epoch=1/10 step=810/2000 loss=0.7277 samples_per_sec=2.89
epoch=1/10 step=820/2000 loss=0.1577 samples_per_sec=2.65
epoch=1/10 step=830/2000 loss=0.7438 samples_per_sec=2.80
epoch=1/10 step=840/2000 loss=0.7786 samples_per_sec=2.91
epoch=1/10 step=850/2000 loss=0.7172 samples_per_sec=2.69
epoch=1/10 step=860/2000 loss=0.7505 samples_per_sec=2.62
epoch=1/10 step=870/2000 loss=0.7801 samples_per_sec=3.02
epoch=1/10 step=880/2000 loss=0.8268 samples_per_sec=2.80
epoch=1/10 step=890/2000 loss=0.6949 samples_per_sec=2.83
epoch=1/10 step=900/2000 loss=0.7201 samples_per_sec=2.86
epoch=1/10 step=910/2000 loss=0.7449 samples_per_sec=3.03
epoch=1/10 step=920/2000 loss=0.6632 samples_per_sec=2.84
epoch=1/10 step=930/2000 loss=0.6569 samples_per_sec=2.87
epoch=1/10 step=940/2000 loss=0.7251 samples_per_sec=2.75
epoch=1/10 step=950/2000 loss=0.7319 samples_per_sec=3.02
epoch=1/10 step=960/2000 loss=0.7372 samples_per_sec=3.05
epoch=1/10 step=970/2000 loss=0.7525 samples_per_sec=2.79
epoch=1/10 step=980/2000 loss=0.7487 samples_per_sec=2.65
